Colonne1,name,nickname
946,Obadiah,Obed
947,Obadiah,Obie
948,Olive,Livia
949,Olive,Nollie
950,Olive,Ollie
951,Oliver,Ollie
952,Olivia,Livia
953,Olivia,Nollie
954,Olivia,Ollie
955,Oswald,Ossy
956,Oswald,Ozzy
957,Oswald,Waldo
958,Pamela,Pam
959,Parmelia,Amelia
960,Parmelia,Melia
961,Parmelia,Milly
962,Patience,Pat
963,Patience,Patty
964,Patricia,Pat
965,Patricia,Patsy
966,Patricia,Patty
967,Patricia,Tricia
968,Patrick,Paddy
969,Patrick,Pat
970,Patrick,Pate
971,Patrick,Patsy
972,Patrick,Peter
973,Paula,Lina
974,Paula,Polly
975,Paulina,Lina
976,Paulina,Polly
977,Pelegrine,Perry
978,Penelope,Penny
979,Percival,Percy
980,Peter,Pate
981,Peter,Pete
982,Peter,Pete
983,Peter,Pete
984,Philetus,Leet
985,Philetus,Phil
986,Philinda,Linda
987,Philinda,Lindy
988,Philinda,Lynn
989,Philip,Phil
990,Phillip,Phil
991,Phillip,Phil
992,Prescott,Pres
993,Prescott,Scott
994,Prescott,Scotty
995,Priscilla,Cilla
996,Priscilla,Cissy
997,Priscilla,Prissy
998,Prudence,Prudy
999,Prudence,Prue
1000,Rachel,Shelly
1001,Rafaela,Rafa
1002,Randolph,Dolph
1003,Randolph,Randy
1004,Raphael,Ralph
1005,Raymond,Ray
1006,Raymond,Ray
1007,Raymond,Ray
1008,Rebecca,Becca
1009,Rebecca,Beck
1010,Rebecca,Becky
1011,Rebecca,Reba
1012,Regina,Gina
1013,Regina,Reggie
1014,Reginald,Naldo
1015,Reginald,Reg
1016,Reginald,Reggie
1017,Reginald,Renny
1018,Relief,Leafa
1019,Reuben,Rube
1020,Ricardo,Rick
1021,Ricardo,Ricky
1022,Richard,Dick
1023,Richard,Dickie
1024,Richard,Dickon
1025,Richard,Dicky
1026,Richard,Rich
1027,Richard,Rick
1028,Richard,Rick
1029,Richard,Rick
1030,Richard,Ricky
1031,Richard,Ricky
1032,Robert,Bob
1033,Robert,Bobby
1034,Robert,Dob
1035,Robert,Dobbin
1036,Robert,Hob
1037,Robert,Hobkin
1038,Robert,Rob
1039,Robert,Rob
1040,Roberta,Bert
1041,Roberta,Bertie
1042,Roberta,Birdie
1043,Roberta,Bobbie
1044,Roberta,Bobbie
1045,Roberta,Robbie
1046,Rodger,Bobby
1047,Rodger,Hodge
1048,Rodger,Robby
1049,Rodger,Robin
1050,Rodger,Rod
1051,Rodger,Roge
1052,Rodger,Rupert
1053,Roger,Bobby
1054,Roger,Hodge
1055,Roger,Robby
1056,Roger,Robin
1057,Roger,Rod
1058,Roger,Roge
1059,Roger,Rupert
1060,Roland,Lanny
1061,Roland,Orlando
1062,Roland,Rollo
1063,Roland,Rolly
1064,Ronald,Naldo
1065,Ronald,Ron
1066,Ronald,Ron
1067,Ronald,Ron
1068,Ronald,Ronny
1069,Ronald,Ronny
1070,Ronald,Ronny
1071,Rosabel,Belle
1072,Rosabel,Rosa
1073,Rosabel,Rose
1074,Rosabel,Roz
1075,Rosabella,Belle
1076,Rosabella,Rosa
1077,Rosabella,Rose
1078,Rosabella,Roz
1079,Rosalinda,Linda
1080,Rosalinda,Rosa
1081,Rosalinda,Rose
1082,Rosalinda,Roz
1083,Rosalyn,Linda
1084,Rosalyn,Rosa
1085,Rosalyn,Rose
1086,Rosalyn,Roz
1087,Roseann,Ann
1088,Roseann,Rose
1089,Roseann,Rosie
1090,Roseann,Roz
1091,Roseanna,Ann
1092,Roseanna,Rose
1093,Roseanna,Rosie
1094,Roseanna,Roz
1095,Roseanne,Ann
1096,Roxanna,Ann
1097,Roxanna,Rose
1098,Roxanna,Roxie
1099,Roxanne,Ann
1100,Roxanne,Rose
1101,Roxanne,Roxie
1102,Rudolph,Dolph
1103,Rudolph,Olph
1104,Rudolph,Rolf
1105,Rudolph,Rudy
1106,Rudolphus,Dolph
1107,Rudolphus,Olph
1108,Rudolphus,Rolf
1109,Rudolphus,Rudy
1110,Russell,Russ
1111,Russell,Russ
1112,Russell,Rusty
1113,Sabrina,Brina
1114,Samuel,Sam
1115,Samuel,Sam
1116,Samuel,Sammy
1117,Samuel,Sammy
1118,Sandra,Cassandra
1119,Sandra,Sandy
1120,Sarah,Sadie
1121,Sarah,Sally
1122,Serena,Rena
1123,Seymour,Morey
1124,Seymour,See
1125,Shelton,Shel
1126,Shelton,Shelly
1127,Shelton,Tony
1128,Sheridan,Dan
1129,Sheridan,Danny
1130,Sheridan,Sher
1131,Shirley,Lee
1132,Shirley,Sherry
1133,Shirley,Shirl
1134,Sidney,Sid
1135,Sidney,Syd
1136,Silas,Si
1137,Simeon,Si
1138,Simeon,Sion
1139,Simon,Si
1140,Simon,Sion
1141,Smith,Smitty
1142,Solomon,Sal
1143,Solomon,Salmon
1144,Solomon,Saul
1145,Solomon,Sol
1146,Solomon,Solly
1147,Solomon,Zolly
1148,Sophia,Sophie
1149,Stephan,Steve
1150,Stephen,Steph
1151,Stephen,Steve
1152,Steven,Steph
1153,Steven,Steve
1154,Stuart,Stu
1155,Submit,Mitty
1156,Sullivan,Sully
1157,Sullivan,Van
1158,Susan,Hannah
1159,Susan,Sue
1160,Susan,Sukey
1161,Susan,Susie
1162,Susan,Suzie
1163,Susannah,Hannah
1164,Susannah,Sue
1165,Susannah,Sukey
1166,Susannah,Susie
1167,Sylvester,Si
1168,Sylvester,Sly
1169,Sylvester,Sy
1170,Sylvester,Syl
1171,Sylvester,Vessie
1172,Sylvester,Vester
1173,Sylvester,Vet
1174,Tabitha,Tabby
1175,Terence,Terry
1176,Teresa,Terry
1177,Thaddeus,Thad
1178,Theodore,Ted
1179,Theodore,Ted
